=== [PHASE 2/2] Full experiment start Sun Sep 14 12:58:12 AM UTC 2025 ===
INFO 09-14 00:58:19 [__init__.py:216] Automatically detected platform cuda.
trainable params: 884,736 || all params: 126,124,032 || trainable%: 0.7015
{'loss': 3.2832, 'grad_norm': 3.56120228767395, 'learning_rate': 1.998051737200996e-05, 'epoch': 0.0}
{'loss': 3.2259, 'grad_norm': 2.7024261951446533, 'learning_rate': 1.995887000757658e-05, 'epoch': 0.0}
{'loss': 3.2069, 'grad_norm': 2.9001574516296387, 'learning_rate': 1.99372226431432e-05, 'epoch': 0.0}
{'loss': 3.0294, 'grad_norm': 3.1440646648406982, 'learning_rate': 1.991557527870982e-05, 'epoch': 0.0}
{'loss': 2.994, 'grad_norm': 3.3345558643341064, 'learning_rate': 1.989392791427644e-05, 'epoch': 0.01}
{'loss': 3.0054, 'grad_norm': 4.055990695953369, 'learning_rate': 1.987228054984306e-05, 'epoch': 0.01}
{'loss': 2.8222, 'grad_norm': 3.0893430709838867, 'learning_rate': 1.9850633185409677e-05, 'epoch': 0.01}
{'loss': 2.9884, 'grad_norm': 3.86310076713562, 'learning_rate': 1.9828985820976298e-05, 'epoch': 0.01}
{'loss': 2.9198, 'grad_norm': 3.2027580738067627, 'learning_rate': 1.9807338456542918e-05, 'epoch': 0.01}
{'loss': 2.959, 'grad_norm': 2.9931647777557373, 'learning_rate': 1.978569109210954e-05, 'epoch': 0.01}
{'loss': 2.9663, 'grad_norm': 3.00701642036438, 'learning_rate': 1.9764043727676156e-05, 'epoch': 0.01}
{'loss': 2.8145, 'grad_norm': 3.0890696048736572, 'learning_rate': 1.9742396363242776e-05, 'epoch': 0.01}
{'loss': 2.8151, 'grad_norm': 4.541618347167969, 'learning_rate': 1.9720748998809397e-05, 'epoch': 0.01}
{'loss': 2.8524, 'grad_norm': 3.3910932540893555, 'learning_rate': 1.9699101634376017e-05, 'epoch': 0.02}
{'loss': 2.879, 'grad_norm': 3.9318740367889404, 'learning_rate': 1.9677454269942634e-05, 'epoch': 0.02}
{'loss': 2.7956, 'grad_norm': 3.2360455989837646, 'learning_rate': 1.9655806905509255e-05, 'epoch': 0.02}
{'loss': 2.7915, 'grad_norm': 3.7665457725524902, 'learning_rate': 1.9634159541075875e-05, 'epoch': 0.02}
{'loss': 2.7123, 'grad_norm': 3.9356954097747803, 'learning_rate': 1.9612512176642496e-05, 'epoch': 0.02}
{'loss': 2.9527, 'grad_norm': 3.218920946121216, 'learning_rate': 1.9590864812209116e-05, 'epoch': 0.02}
{'loss': 2.7645, 'grad_norm': 3.318051338195801, 'learning_rate': 1.9569217447775733e-05, 'epoch': 0.02}
{'loss': 2.7208, 'grad_norm': 3.6740379333496094, 'learning_rate': 1.9547570083342357e-05, 'epoch': 0.02}
{'loss': 2.6932, 'grad_norm': 3.352266311645508, 'learning_rate': 1.9525922718908974e-05, 'epoch': 0.02}
{'loss': 2.6197, 'grad_norm': 3.0335004329681396, 'learning_rate': 1.9504275354475595e-05, 'epoch': 0.02}
{'loss': 2.6918, 'grad_norm': 3.8478357791900635, 'learning_rate': 1.948262799004221e-05, 'epoch': 0.03}
{'loss': 2.8673, 'grad_norm': 4.821259498596191, 'learning_rate': 1.9460980625608835e-05, 'epoch': 0.03}
{'loss': 2.7513, 'grad_norm': 3.538470983505249, 'learning_rate': 1.9439333261175453e-05, 'epoch': 0.03}
{'loss': 2.6918, 'grad_norm': 3.4147281646728516, 'learning_rate': 1.9417685896742073e-05, 'epoch': 0.03}
{'loss': 2.6427, 'grad_norm': 4.377622604370117, 'learning_rate': 1.9396038532308693e-05, 'epoch': 0.03}
{'loss': 2.751, 'grad_norm': 3.6221792697906494, 'learning_rate': 1.9374391167875314e-05, 'epoch': 0.03}
{'loss': 2.7831, 'grad_norm': 4.239709377288818, 'learning_rate': 1.9352743803441934e-05, 'epoch': 0.03}
{'loss': 2.6648, 'grad_norm': 4.165849208831787, 'learning_rate': 1.933109643900855e-05, 'epoch': 0.03}
{'loss': 2.7306, 'grad_norm': 3.141742706298828, 'learning_rate': 1.9309449074575172e-05, 'epoch': 0.03}
{'loss': 2.7459, 'grad_norm': 3.4833734035491943, 'learning_rate': 1.9287801710141792e-05, 'epoch': 0.04}
{'loss': 2.8797, 'grad_norm': 3.1895971298217773, 'learning_rate': 1.9266154345708413e-05, 'epoch': 0.04}
{'loss': 2.7861, 'grad_norm': 3.232987403869629, 'learning_rate': 1.924450698127503e-05, 'epoch': 0.04}
{'loss': 2.7851, 'grad_norm': 3.742715358734131, 'learning_rate': 1.922285961684165e-05, 'epoch': 0.04}
{'loss': 2.6607, 'grad_norm': 3.6935927867889404, 'learning_rate': 1.920121225240827e-05, 'epoch': 0.04}
{'loss': 2.6565, 'grad_norm': 4.242074012756348, 'learning_rate': 1.917956488797489e-05, 'epoch': 0.04}
{'loss': 2.7675, 'grad_norm': 4.132894515991211, 'learning_rate': 1.9157917523541508e-05, 'epoch': 0.04}
{'loss': 2.7242, 'grad_norm': 4.079095840454102, 'learning_rate': 1.913627015910813e-05, 'epoch': 0.04}
{'loss': 2.66, 'grad_norm': 3.9577090740203857, 'learning_rate': 1.911462279467475e-05, 'epoch': 0.04}
{'loss': 2.6181, 'grad_norm': 3.468031644821167, 'learning_rate': 1.909297543024137e-05, 'epoch': 0.05}
{'loss': 2.6279, 'grad_norm': 2.997882127761841, 'learning_rate': 1.907132806580799e-05, 'epoch': 0.05}
{'loss': 2.7646, 'grad_norm': 4.519670486450195, 'learning_rate': 1.9049680701374607e-05, 'epoch': 0.05}
